hellenic.536.desc;Your courtier recently broke a oath they made not too long ago. It was a minor oath, of little importance, and yet some in your court cannot help but point out that this courtier will have to answer to Orcus, the god of the Underworld who punishes oath breakers.;;;;;;;;;;;x
hellenic.536.a;At least it wasn't me!;;;;;;;;;;;;;x
hellenic.536.b;I should remember not to break oaths myself.;;;;;;;;;;;;;x
hellenic.536.c;Silly nonsense. Orcus won’t come down to punish a random mortal.;;;;;;;;;;;;;x
hellenic.537.desc;Some say the god of the forge, Vulcan, truly was hideous and ugly. Others say he was actually quite good looking, but only by mortal standards, and thus was ‘ugly’ for a deity. Yet others say through the centuries, confused and foolish people misunderstood the ancients myths, and he is as handsome as any other god.;;;;;;;;;;;x
hellenic.537.a;He is probably ugly, but an Olympian nevertheless.;;;;;;;;;;;;;x
hellenic.537.b;He is probably good looking for a mortal.;;;;;;;;;;;;;x
hellenic.537.c;Who could think of an Olympian being ugly?;;;;;;;;;;;;;x
hellenic.538.desc;A farmer living nearby has been accused of using various magical charms to reduce his neighbor's crops and increase his own. This is an affront to Ceres, goddess of agriculture, and by ancient custom is to be punishable by death. The accused claims this was all a misunderstanding and that he was merely doing some protective but not harmful charms for his own crops, but further investigation reveals that he is guilty and will be hung for Ceres.;;;;;;;;;;;x
hellenic.538.a;Such are the ancient laws.;;;;;;;;;;;;;x
hellenic.539.desc;One of your courtiers has recently purchased a statue of Flora for their garden. As goddess of flowers, her presence is welcoming in a garden. You and several others pay a visit to your courtier and find the statue most agreeable - it almost seems alive, like as if the statue will start moving at any moment. Your courtier says they can refer you to the sculptor, who charges a decent price.;;;;;;;;;;;x
hellenic.539.a;A fine addition to my collection.;;;;;;;;;;;;;x
hellenic.539.b;I shall use the statue as a private altar.;;;;;;;;;;;;;x
hellenic.539.c;The statue is almost like a real girl! Mine will fuel my imagination....;;;;;;;;;;;;;x
hellenic.539.d;On second thought, I am not willing to pay that much.;;;;;;;;;;;;;x
hellenic.540.desc;One day you are talking with a traveling merchant who has recently come back from a long trip to faraway lands. This merchant said how in other realms, foreigners mock some of our gods as being frivolous. In particular, the merchant remembers an encounter with a particularly rude man who could not understand the concept of Sterquilinus, our god of feces and sewage.;;;;;;;;;;;x
hellenic.540.a;How ignorant. Even a god of such things is a god!;;;;;;;;;;;;;x
hellenic.540.b;It sounds silly, but every deity has their purpose, as we all do.;;;;;;;;;;;;;x
hellenic.540.c;Manure is an important aspect of agriculture!;;;;;;;;;;;;;x
hellenic.541.desc;While traveling in the countryside nearby you come across a beautiful, wild fruit tree, full of fresh, ripe fruit. You pick a few of the apples and eat them, and find them most pleasing to your palate. Surely, to come across such a thing today is no coincidence! Perhaps this is a good sign from the goddess Pomona, whose domain is the flowering of fruit trees.;;;;;;;;;;;x
hellenic.541.a;Maybe, maybe not. Delicious, nevertheless!;;;;;;;;;;;;;x
hellenic.541.b;I should thank her with offerings when I get home.;;;;;;;;;;;;;x
hellenic.542.desc;A brief storm recently caused much anxiety. A bolt of lightning struck the statue of Jupiter atop a local temple, and its head was nowhere to be seen afterwards. Diviners however determined it was hurled into a nearby river at so and so spot. Sure enough, it was found right there, and restored to the temple. Some say Jupiter wishes to remind us of our duties and place in life.;;;;;;;;;;;x
hellenic.542.a;I believe that as well.;;;;;;;;;;;;;x
hellenic.542.b;We must be virtuous with or without such reminders.;;;;;;;;;;;;;x
hellenic.542.c;Who cares?;;;;;;;;;;;;;x
hellenic.543.desc;An herb was recently discovered in your realm that is said to be the ‘dog’s tooth,’ which is the same kind of herb that gave the legendary fisherman Glaucus his immortality and turned him into the prophetic sea-god he is today. That notion was easily dispelled, when a local criminal who ate the herb was summarily executed for his crime, but there are those who still fervently believe that even if it doesn’t give immortality, that the herb has many beneficial effects.;;;;;;;;;;;x
hellenic.543.a;What fools they are!;;;;;;;;;;;;;x
hellenic.543.b;Perhaps I could try some myself? Just in case.;;;;;;;;;;;;;x
VIET_glaucus_herb_good_text;The herb has a positive effect on you.;;;;;;;;;;;;;x
VIET_glaucus_herb_bad_text;The herb has a negative effect on you.;;;;;;;;;;;;;x
hellenic.544.desc;Last night I dreamt a beautiful woman dressed in armor visited me, and we had the most insightful discussions on many different topics. She even showed me some valuable scrolls filled with ancient wisdom. Before the dream ended, she said she was in fact the goddess Minerva, and that she found it pertinent to her interests that I learned a few things from her.;;;;;;;;;;;x
hellenic.544.a;That was quite a dream! I feel smarter already.;;;;;;;;;;;;;x
hellenic.545.desc;Dignitaries from a local town visited me today, bearing gifts of pomegranates in Pluto and Prosperina’s honor. They said that many generations ago, in the days of the old Roman Empire, they were constantly under threat by a powerful band of bandits. They prayed to all the gods, but only Pluto and Prosperina came to their aid, for some reason. Thus they honor them even now.;;;;;;;;;;;x
hellenic.545.a;An interesting tale! And thank you for the pomegranates.;;;;;;;;;;;;;x
